1,"[[{'label': 'NEU', 'score': 0.5541079640388489}, {'label': 'POS', 'score': 0.4438055455684662}, {'label': 'NEG', 'score': 0.002086556749418378}]]"
2,"[[{'label': 'NEG', 'score': 0.8506616950035095}, {'label': 'NEU', 'score': 0.1449199914932251}, {'label': 'POS', 'score': 0.0044182660058140755}]]"
3,"[[{'label': 'NEG', 'score': 0.9816974997520447}, {'label': 'NEU', 'score': 0.015056469477713108}, {'label': 'POS', 'score': 0.0032460433430969715}]]"
4,"[[{'label': 'NEU', 'score': 0.9451601505279541}, {'label': 'NEG', 'score': 0.03095715120434761}, {'label': 'POS', 'score': 0.023882707580924034}]]"
5,"[[{'label': 'NEU', 'score': 0.7974996566772461}, {'label': 'NEG', 'score': 0.1944030225276947}, {'label': 'POS', 'score': 0.008097309619188309}]]"
6,"[[{'label': 'NEG', 'score': 0.5081562995910645}, {'label': 'NEU', 'score': 0.47741633653640747}, {'label': 'POS', 'score': 0.014427347108721733}]]"
7,"[[{'label': 'NEU', 'score': 0.9525332450866699}, {'label': 'POS', 'score': 0.03630717843770981}, {'label': 'NEG', 'score': 0.011159555986523628}]]"
8,"[[{'label': 'NEG', 'score': 0.9629999995231628}, {'label': 'NEU', 'score': 0.03414832055568695}, {'label': 'POS', 'score': 0.002851757686585188}]]"
9,"[[{'label': 'POS', 'score': 0.8896945714950562}, {'label': 'NEU', 'score': 0.10925175994634628}, {'label': 'NEG', 'score': 0.0010536661138758063}]]"
10,"[[{'label': 'NEG', 'score': 0.9856743216514587}, {'label': 'NEU', 'score': 0.009835897013545036}, {'label': 'POS', 'score': 0.004489704966545105}]]"
11,"[[{'label': 'NEU', 'score': 0.911597728729248}, {'label': 'POS', 'score': 0.08696334809064865}, {'label': 'NEG', 'score': 0.0014388879062607884}]]"
12,"[[{'label': 'NEU', 'score': 0.9506556987762451}, {'label': 'POS', 'score': 0.029965287074446678}, {'label': 'NEG', 'score': 0.019378989934921265}]]"
13,"[[{'label': 'NEG', 'score': 0.9724230170249939}, {'label': 'NEU', 'score': 0.024761337786912918}, {'label': 'POS', 'score': 0.002815680578351021}]]"
14,"[[{'label': 'NEG', 'score': 0.9720779657363892}, {'label': 'NEU', 'score': 0.024760765954852104}, {'label': 'POS', 'score': 0.003161277389153838}]]"
15,"[[{'label': 'NEU', 'score': 0.544373095035553}, {'label': 'POS', 'score': 0.45432424545288086}, {'label': 'NEG', 'score': 0.0013026087544858456}]]"
16,"[[{'label': 'NEG', 'score': 0.8059104084968567}, {'label': 'NEU', 'score': 0.18889611959457397}, {'label': 'POS', 'score': 0.005193457938730717}]]"
17,"[[{'label': 'NEG', 'score': 0.9849652051925659}, {'label': 'NEU', 'score': 0.01095996331423521}, {'label': 'POS', 'score': 0.004074813332408667}]]"
18,"[[{'label': 'NEG', 'score': 0.9848189353942871}, {'label': 'NEU', 'score': 0.00798067357391119}, {'label': 'POS', 'score': 0.007200366817414761}]]"
19,"[[{'label': 'POS', 'score': 0.9915599226951599}, {'label': 'NEU', 'score': 0.007372147869318724}, {'label': 'NEG', 'score': 0.0010678913677111268}]]"
20,"[[{'label': 'POS', 'score': 0.991788923740387}, {'label': 'NEU', 'score': 0.007100115064531565}, {'label': 'NEG', 'score': 0.0011110447812825441}]]"
